geneSymbol,diseaseName
NCS1,positive
WDR11,positive
MUL1,positive
NXT1,positive
MRC1,positive
CREBBP,positive
PMM2,positive
MRPL28,positive
RBMY1A1,positive
IGFBP2,positive
RBM45,positive
APRT,positive
TMLHE,positive
IL1RAPL2,positive
ZNF746,positive
DLX4,positive
CHL1,positive
CYFIP1,positive
SYN1,positive
AFF2,positive
PTBP1,positive
DDI2,positive
CDH8,positive
MCPH1,positive
ARID1B,positive
HCCS,positive
LMX1B,positive
SETDB1,positive
PLCB1,positive
AP1S2,positive
SLC2A4RG,positive
DXO,positive
ACSL4,positive
CBS,positive
CHURC1,positive
CHRFAM7A,positive
CUX1,positive
CPAMD8,positive
ATP6V1E1,positive
MSN,positive
SDC2,positive
PIK3CD,positive
CTSD,positive
CHD8,positive
ITGAV,positive
RAI1,positive
AKT1,positive
MAPK7,positive
SPGF2,positive
XPO1,positive
FCRL6,positive
NTNG1,positive
STOML3,positive
HMI,positive
PPCDC,positive
ACACA,positive
REM1,positive
FABP7,positive
RYR1,positive
SRPK2,positive
OPN1LW,positive
SLU7,positive
DYX1C1,positive
IL8,positive
PC,positive
USE1,positive
MOK,positive
DMD,positive
PAX3,positive
TCF7L2,positive
RPP25,positive
MTHFD1,positive
NLGN2,positive
PLEKHG3,positive
NPAT,positive
CXXC1,positive
EFNB1,positive
TAF1,positive
IQCB1,positive
ZNF778,positive
MCHR2,positive
STXBP1,positive
HYDIN,positive
BMP4,positive
APP,positive
KCTD13,positive
LXN,positive
UBD,positive
HEPACAM,positive
AKR1A1,positive
CMAS,positive
MBD6,positive
PLP1,positive
DCUN1D1,positive
NRG1,positive
ALDH7A1,positive
DDX11,positive
HERC2,positive
ARID4B,positive
DPP10,positive
POLG,positive
OTX1,positive
MEF2A,positive
APLP1,positive
PIK3CA,positive
RASGRF1,positive
CNTNAP1,positive
CTTNBP2,positive
ITGA3,positive
HOMER1,positive
PSMD8,positive
LYPD1,positive
LINC00914,positive
MAGEL2,positive
SULT1A1,positive
ATF6,positive
ABCA7,positive
TRIP10,positive
SOS2,positive
MAGED1,positive
ANK3,positive
KNG1,positive
KATNAL2,positive
PAG1,positive
MDRV,positive
GEM,positive
RNF40,positive
FLNB,positive
FHIT,positive
CELF6,positive
SLC25A1,positive
TCF4,positive
ITGA6,positive
GJB1,positive
KLHL7,positive
ARHGEF2,positive
RNASE12,positive
MPP3,positive
KIR3DL1,positive
PIK3CB,positive
TUBGCP5,positive
SCO2,positive
MTOR,positive
AGER,positive
LRP2,positive
MAPK8IP2,positive
PCBP4,positive
SOS1,positive
FBXO15,positive
GUK1,positive
TRPM1,positive
CLIC4,positive
MAF,positive
NIPA2,positive
HMGN1,positive
TG,positive
GLUL,positive
ERBB4,positive
SYPL1,positive
NTNG2,positive
PEX19,negative
RXRA,negative
G6PD,negative
NR1H4,negative
HPRT1,negative
ERCC6,negative
PCSK7,negative
HMBS,negative
SUPV3L1,negative
ATP2B4,negative
ALDOB,negative
ASNS,negative
ETV4,negative
ATP8B1,negative
SGTA,negative
HYOU1,negative
ALAS1,negative
SSBP1,negative
USB1,negative
GPM6B,negative
IDI1,negative
SURF4,negative
DXO,negative
SLC30A9,negative
SLC10A3,negative
RNPEPL1,negative
AAAS,negative
AAGAB,negative
AAMP,negative
AAR2,negative
AARS,negative
AARS2,negative
AARSD1,negative
AASDHPPT,negative
AATF,negative
ABCB10,negative
ABCB7,negative
ABCD3,negative
ABCE1,negative
ABCF1,negative
ABCF2,negative
ABCF3,negative
ABHD10,negative
ABHD12,negative
ABHD13,negative
ABHD14A,negative
ABHD16A,negative
ABHD4,negative
ABHD8,negative
ABI1,negative
ABT1,negative
ACAD9,negative
ACADVL,negative
ACAP3,negative
ACBD3,negative
ACBD5,negative
ACBD6,negative
ACIN1,negative
ACLY,negative
ACOT13,negative
ACOT8,negative
ACOT9,negative
ACOX1,negative
ACOX3,negative
ACP1,negative
ACSF3,negative
ACSL3,negative
ACSS2,negative
ACTR10,negative
ACTR1A,negative
ACTR1B,negative
ACTR5,negative
ACTR8,negative
ACVR1,negative
ACVR1B,negative
ADCK2,negative
ADCK4,negative
ADH5,negative
ADI1,negative
ADIPOR1,negative
ADIPOR2,negative
ADK,negative
ADNP,negative
ADO,negative
ADPRH,negative
ADPRHL2,negative
ADPRM,negative
ADSL,negative
AES,negative
AFF4,negative
AFTPH,negative
AGFG1,negative
AGGF1,negative
AGPAT1,negative
AGPAT3,negative
AGPAT6,negative
AGPS,negative
AHCY,negative
AHSA1,negative
AIMP1,negative
AIP,negative
AK2,negative
AK3,negative
AKAP8,negative
AKAP9,negative
AKIP1,negative
AKIRIN1,negative
AKIRIN2,negative
AKR1A1,negative
AKR7A2,negative
AKT1,negative
AKT1S1,negative
AKTIP,negative
ALAD,negative
ALDH3A2,negative
ALDH9A1,negative
ALG11,negative
ALG5,negative
ALG8,negative
ALG9,negative
ALKBH1,negative
ALKBH2,negative
ALKBH3,negative
ALKBH5,negative
ALS2,negative
ALYREF,negative
AMBRA1,negative
AMD1,negative
ANAPC10,negative
ANAPC11,negative
ANAPC13,negative
ANAPC15,negative
ANAPC16,negative
ANAPC2,negative
ANAPC5,negative
ANAPC7,negative
ANKFY1,negative
ANKH,negative
ANKHD1,negative
ANKHD1-EIF4EBP3,negative
ANKRD10,negative
ANKRD17,negative
ANKRD28,negative
ANKRD39,negative
ANKRD46,negative
ANO6,negative
ANP32A,negative
ANP32B,negative
ANP32C,negative
ANP32E,negative
ANXA6,negative
ANXA7,negative
AP1B1,negative
AP1G1,negative
AP1M1,negative
AP2A1,negative
AP2A2,negative
AP2M1,negative
AP2S1,negative
AP3B1,negative
AP3D1,negative
AP3M1,negative
AP3S1,negative
AP3S2,negative
AP4B1,negative
AP5M1,negative
APEH,negative
APEX1,negative
APEX2,negative
APH1A,negative
API5,negative
APIP,negative
APOA1BP,negative
APOL2,negative
APOOL,negative
APOPT1,negative
APPL2,negative
APTX,negative
ARAF,negative
ARCN1,negative
ARF1,negative
ARF5,negative
ARF6,negative
ARFGAP2,negative
ARFGAP3,negative
ARFGEF2,negative
ARFIP1,negative
ARFIP2,negative
ARFRP1,negative
ARHGAP35,negative
ARHGAP5,negative
ARHGDIA,negative
ARHGEF10L,negative
ARHGEF11,negative
ARHGEF40,negative
ARIH1,negative
ARIH2,negative
ARIH2OS,negative
ARL1,negative
ARL14EP,negative
ARL5A,negative
ARL6IP4,negative
ARL8A,negative
ARL8B,negative
ARMC1,negative
ARMC10,negative
ARMC5,negative
ARMC6,negative
ARMC7,negative
ARMC8,negative
ARMCX3,negative
ARMCX5,negative
ARNT,negative
ARPC1A,negative
ARPC2,negative
ARPC5L,negative
ARV1,negative
ASB1,negative
ASB6,negative
ASB7,negative
ASB8,negative
ASCC1,negative
ASCC3,negative
ASF1A,negative
ASH2L,negative
ASNA1,negative
ASNSD1,negative
ASPSCR1,negative
ASUN,negative
ASXL1,negative
ATAD1,negative
ATAD3A,negative
ATE1,negative
ATF1,negative
ATF2,negative
ATF4,negative
ATF6,negative
ATF7,negative
ATF7IP,negative
ATG12,negative
ATG13,negative
ATG16L1,negative
ATG2A,negative
ATG2B,negative
ATG3,negative
ATG4B,negative
ATG4D,negative
ATG5,negative
ATG7,negative
ATIC,negative
ATL2,negative
ATMIN,negative
ATOX1,negative
ATP2C1,negative
ATP5A1,negative
ATP5B,negative
ATP5C1,negative
ATP5D,negative
ATP5F1,negative
ATP5G2,negative
ATP5G3,negative
ATP5H,negative
ATP5J,negative
ATP5J2,negative
ATP5J2-PTCD1,negative
ATP5L,negative
ATP5O,negative
ATP5S,negative
ATP5SL,negative
ATP6AP1,negative
ATP6V0A2,negative
ATP6V0B,negative
ATP6V0C,negative
ATP6V0D1,negative
ATP6V0E1,negative
ATP6V1C1,negative
ATP6V1D,negative
ATP6V1E1,negative
ATP6V1F,negative
ATP6V1G1,negative
ATP6V1H,negative
ATPAF2,negative
ATPIF1,negative
ATRAID,negative
ATRN,negative
ATXN10,negative
ATXN1L,negative
ATXN2,negative
ATXN2L,negative
ATXN7L3,negative
ATXN7L3B,negative
AUH,negative
AUP1,negative
AURKAIP1,negative
AXIN1,negative
AZI2,negative
AZIN1,negative
B3GALT6,negative
B4GALT3,negative
B4GALT5,negative
B4GALT7,negative
BABAM1,negative
BAD,negative
BAG1,negative
BAG4,negative
BAG6,negative
BAHD1,negative
BANF1,negative
BAP1,negative
BAZ1B,negative
BBS4,negative
BCAP29,negative
BCAP31,negative
BCAS2,negative
BCAT2,negative
BCCIP,negative
BCKDHA,negative
BCKDK,negative
BCL2L1,negative
BCL2L13,negative
BCL2L2-PABPN1,negative
BCL7B,negative
BCLAF1,negative
BCS1L,negative
BECN1,negative
BFAR,negative
BIRC2,negative
BIVM-ERCC5,negative
BLMH,negative
BLOC1S1,negative
BLOC1S2,negative
BLOC1S3,negative
BLOC1S4,negative
BLOC1S6,negative
BLZF1,negative
BMI1,negative
BMS1,negative
BNIP1,negative
BNIP2,negative
BOD1,negative
BOLA1,negative
BOLA3,negative
BPGM,negative
BPNT1,negative
BPTF,negative
BRAT1,negative
BRD2,negative
BRD4,negative
BRD7,negative
BRD9,negative
BRE,negative
BRF1,negative
BRF2,negative
BRIX1,negative
BRK1,negative
BRMS1,negative
BRPF1,negative
BRPF3,negative
BSDC1,negative
BSG,negative
BTBD2,negative
BTD,negative
BTF3,negative
BUB3,negative
BZW1,negative
C10orf12,negative
C10orf2,negative
C10orf76,negative
C10orf88,negative
C11orf1,negative
C11orf24,negative
C11orf31,negative
C11orf57,negative
C11orf58,negative
C11orf73,negative
C11orf83,negative
C12orf10,negative
C12orf23,negative
C12orf29,negative
C12orf44,negative
C12orf45,negative
C12orf5,negative
C12orf52,negative
C12orf57,negative
C12orf65,negative
C12orf66,negative
C14orf1,negative
C14orf119,negative
C14orf142,negative
C14orf166,negative
C14orf2,negative
C14orf28,negative
C15orf38-AP3S2,negative
C15orf57,negative
C16orf13,negative
C16orf62,negative
C16orf72,negative
C16orf91,negative
C17orf49,negative
C17orf51,negative
C17orf58,negative
C17orf59,negative
C17orf70,negative
C17orf85,negative
C18orf21,negative
C18orf25,negative
C18orf32,negative
C18orf8,negative
C19orf43,negative
C19orf53,negative
C19orf60,negative
C19orf70,negative
C1GALT1,negative
C1QBP,negative
C1orf109,negative
C1orf122,negative
C1orf123,negative
C1orf174,negative
C1orf43,negative
C1orf50,negative
C1orf52,negative
C20orf111,negative
C20orf24,negative
C21orf2,negative
C21orf33,negative
C21orf59,negative
C22orf28,negative
C22orf29,negative
C22orf32,negative
C2orf47,negative
C2orf49,negative
C2orf69,negative
C2orf74,negative
C2orf76,negative
C3orf17,negative
C3orf37,negative
C3orf38,negative
C3orf58,negative
C4orf27,negative
C4orf3,negative
C4orf52,negative
C5orf15,negative
C5orf24,negative
C6orf1,negative
C6orf106,negative
C6orf120,negative
C6orf136,negative
C6orf226,negative
C6orf47,negative
C6orf57,negative
C6orf62,negative
C6orf89,negative
C7orf25,negative
C7orf26,negative
C7orf49,negative
C7orf50,negative
C7orf55,negative
C7orf55-LUC7L2,negative
C7orf73,negative
C8orf33,negative
C8orf40,negative
C8orf59,negative
C8orf76,negative
C8orf82,negative
C9orf123,negative
C9orf16,negative
C9orf37,negative
C9orf64,negative
C9orf69,negative
C9orf78,negative
C9orf89,negative
CAB39,negative
CALCOCO2,negative
CALM1,negative
CALR,negative
CALU,negative
CAMTA1,negative
CAMTA2,negative
CANT1,negative
CANX,negative
CAPN1,negative
CAPN7,negative
CAPNS1,negative
CAPRIN1,negative
CAPZA2,negative
CAPZB,negative
CARKD,negative
CARS,negative
CARS2,negative
CASC3,negative
CASC4,negative
CASP3,negative
CASP7,negative
CASP9,negative
CBR4,negative
CBX3,negative
CBX5,negative
CC2D1A,negative
CC2D1B,negative
CCAR1,negative
CCBL1,negative
CCDC12,negative
CCDC124,negative
CCDC127,negative
CCDC130,negative
CCDC137,negative
CCDC149,negative
CCDC174,negative
CCDC22,negative
CCDC23,negative
CCDC25,negative
CCDC47,negative
CCDC50,negative
CCDC51,negative
CCDC59,negative
CCDC71,negative
CCDC86,negative
CCDC90A,negative
CCDC92,negative
CCDC94,negative
CCM2,negative
CCNB1IP1,negative
CCNDBP1,negative
CCNG1,negative
CCNH,negative
CCNK,negative
CCNL1,negative
CCNL2,negative
CCNY,negative
CCPG1,negative
CCT3,negative
CCT4,negative
CCT5,negative
CCT6A,negative
CCT7,negative
CCT8,negative
CD164,negative
CD320,negative
CD46,negative
CD63,negative
CD81,negative
CD82,negative
CD99L2,negative
CDC123,negative
CDC16,negative
CDC23,negative
CDC27,negative
CDC37,negative
CDC37L1,negative
CDC40,negative
CDC42,negative
CDC5L,negative
CDIP1,negative
CDIPT,negative
CDK12,negative
CDK13,negative
CDK16,negative
CDK2AP1,negative
CDK4,negative
CDK5RAP1,negative
CDK8,negative
CDK9,negative
CDS2,negative
CDV3,negative
CDYL,negative
CEBPG,negative
CEBPZ,negative
CECR5,negative
CELF1,negative
CENPB,negative
CENPT,negative
CEP104,negative
CEP57,negative
CEP63,negative
CERK,negative
CERS2,negative
CGGBP1,negative
CHAMP1,negative
CHCHD1,negative
CHCHD2,negative
CHCHD3,negative
CHCHD4,negative
CHCHD5,negative
CHCHD7,negative
CHD1L,negative
CHD4,negative
CHD8,negative
CHERP,negative
CHID1,negative
CHKB,negative
CHMP1A,negative
CHMP2A,negative
CHMP2B,negative
CHMP4A,negative
CHMP4B,negative
CHMP5,negative
CHMP6,negative
CHP1,negative
CHPT1,negative
CHRAC1,negative
CHST12,negative
CHST7,negative
CHTOP,negative
CHUK,negative
CHURC1,negative
CHURC1-FNTB,negative
CIAO1,negative
CIB1,negative
CIC,negative
CINP,negative
CIR1,negative
CIRH1A,negative
CISD1,negative
CISD2,negative
CISD3,negative
CKAP4,negative
CLCC1,negative
CLCN3,negative
CLCN7,negative
CLINT1,negative
CLK3,negative
CLNS1A,negative
CLOCK,negative
CLP1,negative
CLPP,negative
CLPTM1,negative
CLPTM1L,negative
CLPX,negative
CLTA,negative
CLTB,negative
CLTC,negative
CMAS,negative
CMC1,negative
CMC2,negative
CMC4,negative
CMPK1,negative
CNBP,negative
CNIH,negative
CNIH4,negative
CNNM2,negative
CNNM3,negative
CNOT1,negative
CNOT11,negative
CNOT2,negative
CNOT3,negative
CNOT4,negative
CNOT7,negative
CNST,negative
COA1,negative
COA3,negative
COA4,negative
COA5,negative
COA6,negative
COASY,negative
COG1,negative
COG2,negative
COG3,negative
COG4,negative
COG7,negative
COG8,negative
