geneSymbol,diseaseName
GRB2,positive
SLC25A1,positive
LINC00914,positive
KCNQ2,positive
VDR,positive
BCL9,positive
TXK,positive
SMOX,positive
WASH1,positive
GSS,positive
PNOC,positive
NALCN,positive
MUC15,positive
NPY1R,positive
PRG4,positive
GUSB,positive
MTNR1B,positive
PCYT1A,positive
CNKSR3,positive
THOP1,positive
GNAO1,positive
TCN1,positive
DOCK4,positive
SMOC1,positive
CALCA,positive
ERVK-18,positive
TRIM32,positive
NDUFA2,positive
LYRM4,positive
NFKB2,positive
UBD,positive
REL,positive
COX8A,positive
NPSR1,positive
HSD17B6,positive
CRAT,positive
DEFB1,positive
PTPN4,positive
MSMB,positive
SERPINA4,positive
CALY,positive
TXNRD1,positive
B2M,positive
DNAJC5,positive
IGF2,positive
CTNNA2,positive
ETNPPL,positive
SSTR4,positive
PDGFRB,positive
MAF,positive
KRT18,positive
OR10R1P,positive
NDUFB3,positive
INSRR,positive
BRS3,positive
EIF4EBP1,positive
PPIA,positive
IFITM3,positive
CYP27B1,positive
CAMKMT,positive
SERPINB2,positive
PPARA,positive
VANGL2,positive
GSTT2B,positive
DLGAP5,positive
NLGN1,positive
SLC6A12,positive
RAB40B,positive
PTK7,positive
EDNRA,positive
CXCR6,positive
CPOX,positive
ACPP,positive
PTBP1,positive
WISP3,positive
CMYA5,positive
SRGAP2,positive
AGA,positive
HSPG2,positive
DLC1,positive
DLAT,positive
TSNAX-DISC1,positive
ELOVL5,positive
NLGN2,positive
P2RX6,positive
SIRT5,positive
DAP,positive
RBMY1A1,positive
AMACR,positive
SMS,positive
R3HDML,positive
DEFB107A,positive
FRA7G,positive
JAG1,positive
ALG9,positive
MC4R,positive
HERC2,positive
DUSP4,positive
ARNT,positive
C9orf72,positive
SHOX,positive
LLGL1,positive
KIF13A,positive
P2RY1,positive
GIPR,positive
GEMIN4,positive
MT1B,positive
PRSS3,positive
IL12A,positive
NETO1,positive
NR1H4,positive
TBX4,positive
VEGFA,positive
CDCA5,positive
ALDH7A1,positive
NPAS2,positive
VSX1,positive
DAAM2,positive
SNRPN,positive
HABP2,positive
STX7,positive
ITGAV,positive
LASP1,positive
ATP2A2,positive
KRT7,positive
PRDX5,positive
GCHFR,positive
GABRR2,positive
RNF40,positive
HMGB2,positive
GFRA3,positive
CYHR1,positive
RNASE12,positive
SLC38A2,positive
ARFGEF1,positive
FRA6F,positive
SPTB,positive
P2RX3,positive
AAAS,positive
ADARB1,positive
GPR17,positive
7-Sep,positive
HPD,positive
FCN2,positive
CD3EAP,positive
SMR3A,positive
OPCML,positive
ARHGAP32,positive
MBL2,positive
OR2T12,positive
KCNJ3,positive
PTN,positive
CCND2,positive
PKNOX2,positive
DKK1,positive
SOS2,positive
GPS1,positive
DLG2-AS1,positive
FOXK2,positive
AKR1A1,positive
GPRC5D,positive
CRYGD,positive
NFIX,positive
SV2A,positive
SCPEP1,positive
DXO,positive
TSC1,positive
HFE,positive
GJA5,positive
XRCC4,positive
TREM1,positive
CRMP1,positive
UQCC2,positive
TYROBP,positive
RPL29,positive
NFIC,positive
CHURC1,positive
MAP7,positive
AKAP5,positive
MOBP,positive
FADS2,positive
ENPEP,positive
ANGPTL4,positive
TOP3B,positive
ARL6IP5,positive
DNM2,positive
HLA-J,positive
LMLN,positive
PEX19,positive
TPI1,positive
FHIT,positive
UPK3B,positive
SOS1,positive
AGO2,positive
EML5,positive
SHBG,positive
GFRA1,positive
GABRR1,positive
CASP3,positive
CTPP,positive
P2RY2,positive
GNAI1,positive
RPS29,positive
PTPN21,positive
IDE,positive
RASGRF1,positive
PSG2,positive
CTSK,positive
EFNA5,positive
NFIA,positive
TFRC,positive
CPP,positive
ARID2,positive
DEFB107B,positive
ABCA13,positive
SEPHS1,positive
DLL4,positive
REG3A,positive
NPC1,positive
P2RX5,positive
BCHE,positive
ADRB2,positive
ADCY1,positive
NUP98,positive
CEACAM7,positive
CCBL1,positive
RNF128,positive
MIR346,positive
CDK7,positive
ADAMTSL3,positive
GGT1,positive
SMN1,positive
CAST,positive
RHBDL2,positive
NAT1,positive
CACNG8,positive
GNA12,positive
OR2M3,positive
DFNB47,positive
NT5E,positive
MIA3,positive
MOXD1,positive
PCNA,positive
NRXN2,positive
FAS,positive
HHIP,positive
FADS1,positive
TLL1,positive
SCLY,positive
OXA1L,positive
GBP1,positive
HDAC2,positive
RBMS3,positive
MTTP,positive
RIEG2,positive
TFIP11,positive
HMGA1,positive
SLIT1,positive
P2RX2,positive
DGCR8,positive
OR2H1,positive
REST,positive
KIF5A,positive
HNRNPC,positive
AZF1,positive
GCG,positive
SLC26A4,positive
UGT1A4,positive
SLC25A3,positive
HAT1,positive
SRRM2,positive
USP46,positive
ATF3,positive
TAL1,positive
H19,positive
KRT10,positive
MAK16,positive
SCRG1,positive
CASK,positive
SCD,positive
GNA13,positive
MC5R,positive
ELAVL2,positive
P2RX4,positive
LCP1,positive
DCX,positive
CHRNA2,positive
APBA1,positive
SLC22A5,positive
CSN3,positive
DROSHA,positive
HMOX1,positive
PNO1,positive
ABCF1,positive
PTPN1,positive
PTHLH,positive
SRGAP1,positive
PLSCR4,positive
SMN2,positive
BFAR,positive
GPRC5C,positive
MPZL2,positive
UROD,positive
AGO1,positive
GDF10,positive
SPTBN2,positive
MGAT1,positive
P2RX1,positive
EPO,positive
GGTA1P,positive
TERC,positive
PLEKHG3,positive
LRP8,positive
CEACAM3,positive
RRM1,positive
APOA5,positive
AAA1,positive
PDXP,positive
ESCO1,positive
ANXA1,positive
ST6GALNAC1,positive
NEK4,positive
SLC17A5,positive
ZNF365,positive
MBL3P,positive
CCDC68,positive
ERC2,positive
APOBEC3C,positive
EMX2,positive
MCHR2,positive
QPCT,positive
PBRM1,positive
TMPRSS13,positive
SP3,positive
PDSS1,positive
KREMEN1,positive
PI4K2B,positive
NR4A3,positive
DICER1,positive
ST13,positive
OR2T10,positive
AUTS1,positive
MST1,positive
CEACAM5,positive
